,city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed
436,Port-Cartier,CA,50.03,-66.88,27.88,86,75,4.7
437,Hukuntsi,BW,-23.98,21.76,61.59,76,24,7.74
438,Sayansk,RU,54.11,102.18,37.11,41,20,10.76
439,Nizhnevartovsk,RU,60.93,76.58,28.4,63,0,8.95
440,Vyshneve,UA,50.39,30.37,43.52,45,0,6.71
441,Alugan,PH,12.22,125.48,83.55,85,0,9.42
442,Ilhabela,BR,-23.78,-45.36,77.43,99,48,2.37
443,San Nicolas,HN,14.94,-88.33,70.05,77,0,1.92
444,Galle,US,29.74,-97.91,68.67,68,90,9.17
445,Nogales,US,31.34,-110.94,56.39,41,1,4.7
446,Sonoita,US,31.68,-110.66,61.81,46,1,5.82
447,Kumluca,TR,36.37,30.29,41.43,98,92,1.36
448,Palampur,IN,32.11,76.54,27.21,86,0,1.36
449,Ukiah,US,39.15,-123.21,53.55,76,90,8.05
450,Olinda,EC,-2.03,-79.75,79.12,65,0,10.29
451,Mama,MX,20.48,-89.36,84.99,48,5,16.11
452,Gornopravdinsk,RU,60.06,69.92,26.76,73,8,5.61
453,Braniewo,PL,54.38,19.82,40.8,87,20,9.98
454,Rio Gallegos,AR,-51.62,-69.22,44.6,65,40,10.29
455,Tilichiki,RU,60.47,166.1,33.42,85,0,7.18
456,Penzance,GB,50.12,-5.53,47.16,93,88,13.87
457,Ocampo,PH,13.56,123.37,83.64,81,64,5.28
458,Bemidji,US,47.48,-94.89,38.71,100,90,6.93
459,Husavik,CA,50.56,-96.99,41.36,57,80,5.01
460,Kirov,RU,58.6,49.66,27.03,78,12,9.75
461,Wagar,US,31.44,-87.99,69.93,95,92,3.71
462,Ahipara,NZ,-35.17,173.16,64.65,79,0,12.66
463,Galveston,US,40.58,-86.19,53.53,62,1,9.19
464,Kudahuvadhoo,MV,2.67,72.89,84.36,100,32,3.83
465,Opotiki,NZ,-38.01,177.29,69.01,59,0,3.0
466,Quesnel,CA,52.98,-122.49,51.8,37,90,17.22
467,Birao,CF,10.3,22.78,65.91,34,0,5.39
468,Itoman,JP,26.12,127.67,77.95,78,20,6.93
469,Borgo San Dalmazzo,IT,44.33,7.49,44.37,100,40,9.17
470,Brewster,US,41.76,-70.08,45.07,93,1,11.43
471,Curup,ID,-3.47,102.53,80.85,74,0,2.15
472,Atar,MR,20.52,-13.05,52.95,53,0,5.61
473,Savalia,GR,37.82,21.29,54.52,87,75,7.63
474,Pevek,RU,69.7,170.27,13.08,83,0,6.51
475,Ornskoldsvik,SE,63.29,18.72,34.99,95,92,4.7
476,Guarapari,BR,-20.67,-40.5,79.74,78,20,6.93
477,Pangnirtung,CA,66.15,-65.72,16.68,78,92,5.73
478,Tabuk,PH,17.41,121.44,81.3,73,20,1.36
479,Bolshoy Lug,RU,52.08,104.09,39.2,35,0,6.71
480,La Sarre,CA,48.8,-79.2,19.83,73,32,5.17
481,Manicore,BR,-5.81,-61.3,78.96,84,20,3.38
482,Killybegs,IE,54.63,-8.45,39.63,100,76,3.15
483,Ramhormoz,IR,31.28,49.6,61.32,81,88,4.72
484,Aksu,KZ,52.04,76.93,37.4,69,40,11.18
485,Rumphi,MW,-11.02,33.86,60.06,92,8,2.59
486,Araouane,ML,18.9,-3.53,63.93,25,0,10.54
487,South Sioux City,US,42.47,-96.41,59.77,82,75,10.54
488,Minab,IR,27.15,57.07,73.4,69,0,4.7
489,Palmer,US,61.6,-149.11,42.51,61,1,11.41
490,Assiniboia,CA,49.63,-105.99,46.92,66,32,10.98
491,Kangaba,ML,11.94,-8.41,88.68,33,92,8.63
492,Lahaina,US,20.87,-156.68,77.07,57,20,10.29
493,Saint-Joseph,FR,43.56,6.97,43.21,81,90,1.12
494,Paralia,GR,40.27,22.6,54.52,71,20,2.24
495,Kirillov,RU,59.86,38.38,24.8,92,0,2.93
496,Mustvee,EE,58.85,26.93,35.28,74,36,4.7
497,Sabang,PH,13.72,123.58,83.64,81,64,5.28
498,Linxia,CN,35.6,103.21,55.83,25,0,3.38
499,Rodez,FR,44.35,2.57,34.88,100,0,3.36
500,Ulagan,RU,50.63,87.96,22.53,64,12,3.15
501,Bilma,NE,18.69,12.92,69.42,24,32,2.82
502,Taksimo,RU,56.36,114.84,27.12,46,0,2.82
503,Kyren,RU,51.68,102.13,28.11,70,20,2.71
504,Sao Joao da Barra,BR,-21.64,-41.05,81.93,95,32,23.06
505,Zhezkazgan,KZ,47.8,67.71,37.4,74,75,11.18
506,Palu,ID,-0.9,119.87,78.87,69,44,1.81
507,Honiara,SB,-9.43,159.96,80.49,92,80,2.71
508,Lawrence,US,38.97,-95.24,60.48,87,90,8.05
509,Jalu,LY,29.03,21.55,60.78,63,68,6.96
510,Dzhebariki-Khaya,RU,62.22,135.8,38.1,63,0,3.6
511,Tiarei,PF,-17.53,-149.33,88.25,66,20,11.41
512,Potiskum,NG,11.71,11.08,76.44,57,8,4.72
513,Labuhan,ID,-2.54,115.51,84.27,80,32,2.93
514,Marawi,PH,8.0,124.29,82.0,82,32,5.99
515,Lake Charles,US,30.23,-93.22,73.26,94,90,10.29
516,Mackay,CA,53.65,-115.58,38.28,56,20,2.37
517,Plettenberg Bay,ZA,-34.05,23.37,61.95,97,0,8.41
518,San Ignacio,CL,-36.8,-72.03,50.0,71,0,2.24
519,Karibib,NA,-21.94,15.86,54.48,89,0,3.15
520,Nelson Bay,AU,-32.72,152.14,86.16,42,0,8.05
521,Magadi,IN,12.96,77.22,82.76,57,0,5.82
522,Griffith,AU,-34.29,146.06,78.51,28,0,10.29
523,Cairns,AU,-16.92,145.77,78.57,70,40,17.22
524,Upata,VE,8.02,-62.41,78.01,80,80,5.99
525,Sainte-Marie,CA,46.45,-71.03,35.11,86,40,9.17
526,Otterup,DK,55.52,10.4,42.58,87,0,4.7
527,Kumylzhenskaya,RU,49.88,42.59,32.32,95,0,4.0
528,Basavakalyana,IN,17.88,76.95,84.9,29,0,4.16
529,Pyinmana,MM,19.74,96.21,87.15,51,0,2.59
530,Campos Belos,BR,-13.04,-46.77,72.48,93,64,2.15
531,Marsa Matruh,EG,31.35,27.25,52.5,88,8,3.38
532,Marinette,US,45.1,-87.63,39.45,100,90,4.7
533,Bambanglipuro,ID,-7.95,110.28,79.05,99,68,4.16
534,Chushan,CN,33.3,113.65,67.71,60,0,5.17
535,Kurumkan,RU,54.33,110.32,22.35,61,0,2.26
536,Shubarshi,KZ,48.59,57.19,36.75,85,44,13.22
537,Kanakapura,IN,12.54,77.42,84.09,57,0,5.82
538,Zeya,RU,53.74,127.27,37.47,52,32,4.38
539,Constitucion,MX,23.99,-104.67,64.4,20,5,13.87
540,Roberval,CA,48.51,-72.22,31.44,73,20,10.29
541,Maholi,IN,27.65,80.48,80.04,60,0,14.9
542,Caraquet,CA,47.79,-64.94,33.89,69,20,8.05
543,Warmbad,DE,50.67,13.08,39.29,93,0,1.12
544,Alta Floresta,BR,-9.87,-56.08,74.37,94,48,2.15
545,Karratha,AU,-20.74,116.85,102.36,12,0,11.1
546,Bull Savanna,JM,17.89,-77.59,73.47,74,0,4.94
547,Kon Tum,VN,14.36,108.0,80.58,62,12,2.37
548,Svetlaya,RU,46.54,138.33,36.75,80,0,1.7
549,Gladstone,AU,-23.84,151.26,85.14,42,0,12.75
550,Victoria,BN,5.28,115.24,88.52,79,75,1.12
551,Itaueira,BR,-7.6,-43.03,71.85,97,88,6.4
552,Khadzhalmakhi,RU,42.42,47.18,48.07,93,90,6.71
553,Jumla,NP,29.28,82.18,36.84,97,44,1.36
554,Pochutla,MX,15.74,-96.47,79.63,74,5,12.75
555,Maryborough,AU,-25.54,152.7,81.12,50,0,3.15
556,Klaksvik,FO,62.23,-6.59,41.0,97,56,9.17
557,Paranavai,BR,-23.07,-52.47,69.8,94,0,2.24
558,Bestobe,KZ,52.5,73.1,34.86,90,8,8.97
